You are now connected to database "spots" as user "paulosghirmai".
             website              | webcount 
 classicinns.co.uk                |        2
 finos.co.uk                      |        2
 breddostacos.com                 |        2
 tortilla.co.uk                   |        2
 gustorestaurants.uk.com          |       12
 josepizarro.com                  |        3
 mrestaurants.co.uk               |        2
 menomale.se                      |        2
 comptoirlibanais.com             |       22
 sodopizza.co.uk                  |        2
 heartcore.co.uk                  |        7
 leonrestaurants.co.uk            |        2
 shoryuramen.com                  |        3
 thewrightbrothers.co.uk          |        4
 belmond.com                      |        6
 kfc.co.uk                        |        3
 harrisandhoole.co.uk             |        3
 chezantoinette.co.uk             |        2
 chicamalondon.com                |        2
 greggs.co.uk                     |        4
 letocaffe.co.uk                  |        2
 laduree.ae                       |        2
 hardrock.com                     |        3
 thesavoylondon.com               |        2
 all.accor.com                    |        3
 pachamamalondon.com              |        2
 starbucks.com                    |        2
 kuducollective.com               |        3
 sumosantwiga.com                 |        2
 santamariapizzeria.com           |        3
 kiyotosushi.co.uk                |        2
 blacktap.com                     |        2
 picturehouses.com                |        2
 fourseasons.com                  |        7
 tajhotels.com                    |        2
 prawnonthelawn.com               |        2
 barestaurant.com                 |        2
 soderberg.uk                     |        2
 eatbychloe.com                   |       17
 draughtslondon.com               |        2
 yosushi.com                      |        3
 carve.cc                         |        2
 pizzaunion.com                   |        3
 bancone.co.uk                    |        2
 kushirestaurant.co.uk            |        2
 copenhagencoffeelab.com          |        3
 hungryhorse.co.uk                |        2
 bagelfactory.co.uk               |        2
 pizzaeast.com                    |        2
 harrods.com                      |        5
 editionhotels.com                |        3
 daylesford.com                   |        5
 kinugawa.fr                      |        2
 220grad.com                      |        2
 gbk.co.uk                        |        2
 koirestaurant.com                |        2
 bestiala.com                     |        2
 cafebeam.co.uk                   |        3
 thegrounds.com.au                |        2
 carluccios.com                   |        2
 boscopizzeria.co.uk              |        2
 meatliquor.com                   |       11
 7bone.co.uk                      |        6
 victors.co.uk                    |        2
 junkyardgolfclub.co.uk           |        3
 xianfoods.com                    |        4
 busaba.com                       |       11
 kibou.co.uk                      |        2
 suvlaki.co.uk                    |        2
 gruposushicafe.pt                |        2
 theritzlondon.com                |        3
 chikn.com                        |        2
 lussmanns.com                    |        4
 4fingers.com                     |        2
 fairmont.com                     |        5
 mobilephonerepairdoctor.co.uk    |        2
 petershamnurseries.com           |        4
 eggfreecake.co.uk                |        3
                                  |        5
 cipriani.com                     |        2
 mikkeller.dk                     |        3
 darlinggroup.com.au              |        2
 wagamama.com                     |        7
 poppiesfishandchips.co.uk        |        3
 stjohnrestaurant.com             |        2
 casadofrango.co.uk               |        2
 moomaidofzennor.com              |        3
 fiveelephant.com                 |        2
 tripadvisor.pt                   |        4
 bunsen.ie                        |        2
 grind.co.uk                      |       10
 kaffeine.co.uk                   |        2
 frenchconnection.com             |        6
 grupo-k.pt                       |        2
 kentunion.co.uk                  |        2
 cambridgewine.com                |        2
 thefarmgirl.co.uk                |        2
 bodeganegracafe.com              |        2
 linktr.ee                        |        4
 padella.co                       |        2
 rosasthaicafe.com                |       13
 turtlebay.co.uk                  |        4
 vam.ac.uk                        |        3
 thecheesebar.com                 |        2
 londoncocktailclub.co.uk         |        2
 zaapthai.co.uk                   |        2
 koya.co.uk                       |        2
 bp.com                           |        2
 pattyandbun.co.uk                |        9
 pancakepantry.com                |        2
 gailsbread.co.uk                 |        7
 burgerandlobster.com             |       19
 cabana-brasil.com                |        2
 zaikaofkensington.com            |        2
 mr-miyagis.com                   |        2
 peggyporschen.com                |        2
 amazonicorestaurant.com          |        2
 crosstowndoughnuts.com           |        3
 zizzi.co.uk                      |        2
 barescatapas.co.uk               |        2
 rudyspizza.co.uk                 |        2
 sohohouse.com                    |       19
 baoziinn.com                     |        3
 ceviche105.com                   |        3
 buddhabarlondon.com              |        2
 geraniocapri.com                 |        2
 beachblanket.co.uk               |        2
 ihg.com                          |        2
 theleopardinn.co.uk              |        2
 abc.com.lb                       |        2
 bostonteaparty.co.uk             |        4
 olympiccinema.co.uk              |        2
 therumkitchen.com                |        2
 greatukpubs.co.uk                |        4
 talabat.com                      |        2
 alicehouse.co.uk                 |        2
 fattoamanopizza.com              |        2
 georgesgreatbritishkitchen.co.uk |        2
 cityoflondon.gov.uk              |        2
 bubbleologyusa.com               |        2
 boxpark.co.uk                    |        2
 balans.co.uk                     |        3
 eatofeden.co.uk                  |        2
 saintespresso.com                |        2
 butchies.co.uk                   |        2
 bungabunga.com                   |        2
 beerandburgerstore.com           |        2
 locations.wimpy.uk.com           |        4
 fortnumandmason.com              |        2
 towerbridge.org.uk               |        2
 pantechnicon.com                 |        4
 pizzapilgrims.co.uk              |       10
 jncquoi.com                      |        2
 joespizzanyc.com                 |        5
 eatapitta.co.uk                  |        4
 hardrockhotels.com               |        3
 visitpetra.jo                    |        2
 kanishkarestaurant.co.uk         |        2
 dishoom.com                      |        8
 mexicansugarcocina.com           |        2
 oklava.co.uk                     |        2
 osarracino.co.uk                 |        2
 ellacanta.com                    |        2
 ginandjuice.com                  |        2
 blacktapme.com                   |        2
 coffeeandthyme.co                |        2
 pizzaexpress.com                 |       10
 harvester.co.uk                  |        2
 lobostapas.co.uk                 |        2
 ottolenghi.co.uk                 |        6
 bleedingheart.co.uk              |        3
 airbnb.co.uk                     |        2
 sancarlo.co.uk                   |        5
 drakeandmorgan.co.uk             |        7
 google.com                       |       11
 islandpoke.com                   |        2
 ezic.com.tr                      |        2
 blondieskitchen.co.uk            |        3
 oliveandsquash.co.uk             |        2
 hotelduvin.com                   |        3
 anticapizzeriadamichele.co.uk    |        2
 chicken-george.co.uk             |        2
 coyarestaurant.com               |        7
 nationalgallery.org.uk           |        2
 eggslut.com                      |        8
 villabiancagroup.com             |        2
 paul-ainsworth.co.uk             |        2
 germandonerkebab.com             |        3
 kayalrestaurant.com              |        2
 thealchemist.uk.com              |        4
 pophamsbakery.com                |        3
 bocasgrill.com                   |        3
 smithsrestaurants.com            |        2
 emberinns.co.uk                  |        6
 rye-bakery.com                   |        2
 cafegratitude.com                |        2
 oathpizza.com                    |        6
 rickstein.com                    |        4
 saltyardgroup.co.uk              |        3
 wingmans.co.uk                   |        2
 montemar.pt                      |        3
 tamarindrestaurant.com           |        2
 caesars.com                      |        3
 cote.co.uk                       |        7
 eatdirtyburger.com               |        2
 londoneye.com                    |        2
 cowshed.com                      |        4
 caferouge.co.uk                  |        2
 thelounges.co.uk                 |       12
 coffeelabuk.com                  |        2
 farmerj.com                      |        2
 prezzorestaurants.co.uk          |        3
 boombapburger.com                |        2
 t-mobile.pl                      |        2
 stksteakhouse.com                |        3
 hopperandbean.com                |        2
 thebreakfastclubcafes.com        |        5
 titanic.com.tr                   |        2
 thomaskeller.com                 |        2
 friendsavenue.ae                 |        2
 blacksheephotels.com             |        2
 bairrodoavillez.pt               |        2
 ferdi-restaurant.com             |        2
 wholefoodsmarket.com             |        5
 brothermarcus.co.uk              |        2
 miscusi.com                      |        2
 millenniumhotels.com             |        4
 tapasrevolution.com              |        4
 hilton.com                       |        6
 leon.co                          |        2
 bombaybrasserielondon.com        |        2
 primesteakandgrill.com           |        3
 mowglistreetfood.com             |        8
 shangri-la.com                   |        7
 t.co                             |        3
 hickorys.co.uk                   |        3
 royalparks.org.uk                |        6
 ilovenicolau.com                 |        2
 honestgreens.com                 |        2
 subway.co.uk                     |        2
 vibeuae.com                      |        2
 thaisq.com                       |        3
 outlaws.co.uk                    |        2
 wongnai.com                      |        3
 russanddaughters.com             |        2
 serpentinegalleries.org          |        2
 myolddutch.com                   |        2
 wyatthotel.com                   |        2
 allegra-restaurant.com           |        2
 m.facebook.com                   |       15
 bonedaddies.com                  |        4
 radissonhotels.com               |        2
 streetfeast.com                  |        3
 eaststreetrestaurant.com         |        2
 thened.com                       |        5
 bardouro.co.uk                   |        2
 ilovebuvette.com                 |        2
 facebook.com                     |       69
 mildreds.co.uk                   |        4
(650 rows)

